Object,RA,DEC,DateObs,setting,WaveMin,WaveMax,Filename
HD149404,249.094452,-42.85959,2017-05-07T01:59:22.484,564,5817.6,5915.4,/HD149404/RED_564/HD149404_w564_redu_20170507_O4.fits
HD149404,249.094718,-42.85846,2017-04-17T08:10:52.191,564,5817.6,5915.4,/HD149404/RED_564/HD149404_w564_redu_20170417_O4.fits
HD149404,249.09489,-42.85851,2018-06-23T06:56:50.355,564,5874.1,5972.8,/HD149404/RED_564/HD149404_w564_redu_20180623_O5.fits
HD149404,249.094718,-42.85846,2017-04-17T08:10:52.191,564,5874.1,5972.8,/HD149404/RED_564/HD149404_w564_redu_20170417_O5.fits
HD149404,249.094452,-42.85959,2017-05-07T01:59:22.484,564,5874.1,5972.8,/HD149404/RED_564/HD149404_w564_redu_20170507_O5.fits
HD149404,249.09366,-42.8592,2017-04-18T09:37:09.471,564,5874.1,5972.8,/HD149404/RED_564/HD149404_w564_redu_20170418_O5.fits
HD149404,249.094871,-42.85858,2018-06-30T00:55:33.345,564,5874.1,5972.8,/HD149404/RED_564/HD149404_w564_redu_20180630_O5.fits
HD149757,249.290109,-10.56713,2018-06-23T07:13:10.749,564,5817.6,5915.4,/HD149757/RED_564/HD149757_w564_redu_20180623_O4.fits
HD149757,249.2902,-10.56732,2015-07-20T00:25:15.331,564,5817.7,5915.5,/HD149757/RED_564/HD149757_w564_redu_20150720_O4.fits
HD149757,249.290109,-10.56713,2018-06-23T07:13:10.749,564,5874.1,5972.8,/HD149757/RED_564/HD149757_w564_redu_20180623_O5.fits
HD149757,249.2902,-10.56732,2015-07-20T00:25:15.331,564,5874.2,5972.8,/HD149757/RED_564/HD149757_w564_redu_20150720_O5.fits
HD150136,250.335601,-48.76342,2015-06-28T05:27:22.861,564,5817.7,5915.4,/HD150136/RED_564/HD150136_w564_redu_20150628_O4.fits
HD150136,250.335601,-48.76342,2015-06-28T05:27:22.861,564,5874.2,5972.8,/HD150136/RED_564/HD150136_w564_redu_20150628_O5.fits
HD151804,252.890445,-41.23085,2016-07-02T01:08:09.835,564,5817.6,5915.4,/HD151804/RED_564/HD151804_w564_redu_20160702_O4.fits
HD151804,252.891391,-41.23095,2016-05-10T08:53:39.272,564,5817.6,5915.4,/HD151804/RED_564/HD151804_w564_redu_20160510_O4.fits
HD151804,252.889974,-41.23085,2015-07-20T01:47:26.549,564,5817.7,5915.5,/HD151804/RED_564/HD151804_w564_redu_20150720_O4.fits
HD151804,252.889892,-41.23053,2017-04-18T09:10:27.674,564,5817.6,5915.4,/HD151804/RED_564/HD151804_w564_redu_20170418_O4.fits
HD151804,252.889639,-41.23045,2016-05-21T01:16:34.514,564,5817.6,5915.4,/HD151804/RED_564/HD151804_w564_redu_20160521_O4.fits
HD151804,252.889639,-41.23045,2016-05-21T01:16:34.514,564,5874.1,5972.8,/HD151804/RED_564/HD151804_w564_redu_20160521_O5.fits
HD151804,252.889892,-41.23053,2017-04-18T09:10:27.674,564,5874.1,5972.8,/HD151804/RED_564/HD151804_w564_redu_20170418_O5.fits
HD151804,252.891391,-41.23095,2016-05-10T08:53:39.272,564,5874.1,5972.8,/HD151804/RED_564/HD151804_w564_redu_20160510_O5.fits
HD151804,252.890445,-41.23085,2016-07-02T01:08:09.835,564,5874.1,5972.8,/HD151804/RED_564/HD151804_w564_redu_20160702_O5.fits
HD151804,252.889974,-41.23085,2015-07-20T01:47:26.549,564,5874.2,5972.9,/HD151804/RED_564/HD151804_w564_redu_20150720_O5.fits
HD152248,253.541861,-41.82581,2017-05-09T02:11:47.920,564,5817.6,5915.4,/HD152248/RED_564/HD152248_w564_redu_20170509_O4.fits
HD152248,253.541835,-41.82587,2017-05-07T03:28:47.093,564,5817.6,5915.4,/HD152248/RED_564/HD152248_w564_redu_20170507_O4.fits
HD152248,253.541835,-41.82587,2017-05-07T03:28:47.093,564,5874.1,5972.8,/HD152248/RED_564/HD152248_w564_redu_20170507_O5.fits
HD152248,253.541861,-41.82581,2017-05-09T02:11:47.920,564,5874.1,5972.8,/HD152248/RED_564/HD152248_w564_redu_20170509_O5.fits
HD152408,253.744713,-41.15105,2016-04-03T08:25:32.454,564,5817.6,5915.4,/HD152408/RED_564/HD152408_w564_redu_20160403_O4.fits
HD152408,253.743997,-41.15157,2015-06-18T07:10:18.131,564,5817.7,5915.4,/HD152408/RED_564/HD152408_w564_redu_20150618_O4.fits
HD152408,253.744562,-41.15093,2016-05-10T07:10:10.778,564,5817.6,5915.4,/HD152408/RED_564/HD152408_w564_redu_20160510_O4.fits
HD152408,253.744713,-41.15105,2016-04-03T08:25:32.454,564,5874.1,5972.8,/HD152408/RED_564/HD152408_w564_redu_20160403_O5.fits
HD152408,253.743997,-41.15157,2015-06-18T07:10:18.131,564,5874.2,5972.8,/HD152408/RED_564/HD152408_w564_redu_20150618_O5.fits
HD152408,253.744562,-41.15093,2016-05-10T07:10:10.778,564,5874.1,5972.8,/HD152408/RED_564/HD152408_w564_redu_20160510_O5.fits
HD152424,253.763916,-42.0915,2016-04-11T04:31:26.481,564,5817.6,5915.4,/HD152424/RED_564/HD152424_w564_redu_20160411_O4.fits
HD152424,253.763916,-42.0915,2016-04-11T04:31:26.481,564,5874.1,5972.8,/HD152424/RED_564/HD152424_w564_redu_20160411_O5.fits
HD153919,255.986337,-37.84444,2016-07-07T02:03:04.121,564,5817.6,5915.4,/HD153919/RED_564/HD153919_w564_redu_20160707_O4.fits
HD153919,255.986337,-37.84444,2016-07-07T02:03:04.121,564,5874.1,5972.8,/HD153919/RED_564/HD153919_w564_redu_20160707_O5.fits
HD154043,256.328755,-47.06962,2017-07-19T00:14:11.277,564,5817.6,5915.4,/HD154043/RED_564/HD154043_w564_redu_20170719_O4.fits
HD154043,256.329053,-47.06866,2017-05-02T06:21:26.247,564,5817.6,5915.4,/HD154043/RED_564/HD154043_w564_redu_20170502_O4.fits
HD154043,256.328755,-47.06962,2017-07-18T23:52:32.811,564,5817.6,5915.4,/HD154043/RED_564/HD154043_w564_redu_20170718_O4.fits
HD154043,256.329053,-47.06866,2017-05-02T06:21:26.247,564,5874.1,5972.8,/HD154043/RED_564/HD154043_w564_redu_20170502_O5.fits
HD154043,256.328755,-47.06962,2017-07-18T23:52:32.811,564,5874.1,5972.8,/HD154043/RED_564/HD154043_w564_redu_20170718_O5.fits
HD154043,256.328755,-47.06962,2017-07-19T00:14:11.277,564,5874.1,5972.8,/HD154043/RED_564/HD154043_w564_redu_20170719_O5.fits
HD154368,256.618574,-35.45121,2018-06-30T01:47:10.628,564,5817.6,5915.4,/HD154368/RED_564/HD154368_w564_redu_20180630_O4.fits
HD154368,256.618574,-35.45121,2018-06-30T01:47:10.628,564,5874.1,5972.8,/HD154368/RED_564/HD154368_w564_redu_20180630_O5.fits
HD155806,258.82957,-33.54886,2015-07-03T02:17:33.636,564,5817.7,5915.5,/HD155806/RED_564/HD155806_w564_redu_20150703_O4.fits
HD155806,258.82957,-33.54886,2015-07-03T02:17:33.636,564,5874.2,5972.9,/HD155806/RED_564/HD155806_w564_redu_20150703_O5.fits
HD156201,259.440038,-35.22469,2018-08-30T00:50:48.830,564,5817.6,5915.4,/HD156201/RED_564/HD156201_w564_redu_20180830_O4.fits
HD156201,259.440038,-35.22469,2018-08-30T00:50:48.830,564,5874.1,5972.8,/HD156201/RED_564/HD156201_w564_redu_20180830_O5.fits
HD157246,261.349348,-56.37824,2015-07-20T02:16:37.988,564,5817.7,5915.5,/HD157246/RED_564/HD157246_w564_redu_20150720_O4.fits
HD157246,261.349348,-56.37824,2015-07-20T02:16:37.988,564,5874.2,5972.9,/HD157246/RED_564/HD157246_w564_redu_20150720_O5.fits
HD157978,261.579443,7.59588,2016-06-16T03:02:22.404,564,5817.6,5915.4,/HD157978/RED_564/HD157978_w564_redu_20160616_O4.fits
HD157978,261.578679,7.5956,2016-05-08T05:58:42.731,564,5817.6,5915.4,/HD157978/RED_564/HD157978_w564_redu_20160508_O4.fits
HD157978,261.578679,7.5956,2016-05-08T05:58:42.731,564,5874.1,5972.8,/HD157978/RED_564/HD157978_w564_redu_20160508_O5.fits
HD157978,261.579443,7.59588,2016-06-16T03:02:22.404,564,5874.1,5972.8,/HD157978/RED_564/HD157978_w564_redu_20160616_O5.fits
HD161056,265.945716,-7.07975,2017-07-01T03:47:28.559,564,5817.6,5915.4,/HD161056/RED_564/HD161056_w564_redu_20170701_O4.fits
HD161056,265.945773,-7.07978,2017-06-15T07:18:01.046,564,5817.6,5915.4,/HD161056/RED_564/HD161056_w564_redu_20170615_O4.fits
HD161056,265.945773,-7.07978,2017-06-15T07:18:01.046,564,5874.1,5972.8,/HD161056/RED_564/HD161056_w564_redu_20170615_O5.fits
HD161056,265.945716,-7.07975,2017-07-01T03:47:28.559,564,5874.1,5972.8,/HD161056/RED_564/HD161056_w564_redu_20170701_O5.fits
