Object,RA,DEC,DateObs,setting,WaveMin,WaveMax,Filename
HD36982,83.791005,-5.46489,2017-12-18T00:58:03.844,346,3281.9,3333.4,/HD36982/BLUE_346/HD36982_w346_blue_20171218_O12.fits
HD37020,83.815853,-5.3875,2017-08-26T08:44:16.170,346,3281.9,3333.4,/HD37020/BLUE_346/HD37020_w346_blue_20170826_O12.fits
HD37020,83.816039,-5.38743,2017-10-01T06:52:35.934,346,3281.9,3333.4,/HD37020/BLUE_346/HD37020_w346_blue_20171001_O12.fits
HD37022,83.818606,-5.38975,2014-09-24T09:23:22.985,346,3281.9,3333.4,/HD37022/BLUE_346/HD37022_w346_blue_20140924_O12.fits
HD37022,83.818717,-5.38978,2016-02-22T03:46:07.578,346,3281.9,3333.4,/HD37022/BLUE_346/HD37022_w346_blue_20160222_O12.fits
HD37041,83.845195,-5.41604,2014-09-24T07:01:42.805,346,3281.9,3333.4,/HD37041/BLUE_346/HD37041_w346_blue_20140924_O12.fits
HD37061,83.880579,-5.26731,2019-01-01T01:23:08.284,346,3282,3333.4,/HD37061/BLUE_346/HD37061_w346_blue_20190101_O12.fits
HD37061,83.880545,-5.2673,2016-09-12T08:53:49.427,346,3281.9,3333.4,/HD37061/BLUE_346/HD37061_w346_blue_20160912_O12.fits
HD37128,84.053268,-1.20192,2017-08-09T09:45:17.626,346,3281.9,3333.4,/HD37128/BLUE_346/HD37128_w346_blue_20170809_O12.fits
HD37367,84.82599,29.21518,2014-10-11T08:20:28.527,346,3281.9,3333.4,/HD37367/BLUE_346/HD37367_w346_blue_20141011_O12.fits
HD37367,84.826102,29.21512,2017-02-23T00:52:25.095,346,3281.9,3333.4,/HD37367/BLUE_346/HD37367_w346_blue_20170223_O12.fits
HD37903,85.410142,-2.25882,2018-03-17T00:35:49.677,346,3281.9,3333.4,/HD37903/BLUE_346/HD37903_w346_blue_20180317_O12.fits
HD37903,85.40983,-2.25877,2014-09-29T07:39:50.904,346,3281.9,3333.4,/HD37903/BLUE_346/HD37903_w346_blue_20140929_O12.fits
HD39680,88.686437,13.85475,2019-01-01T02:20:07.625,346,3282,3333.4,/HD39680/BLUE_346/HD39680_w346_blue_20190101_O12.fits
HD39680,88.68631,13.85472,2018-02-14T02:15:34.521,346,3281.9,3333.4,/HD39680/BLUE_346/HD39680_w346_blue_20180214_O12.fits
HD40111,89.498686,25.95224,2014-11-04T08:17:40.985,346,3281.9,3333.4,/HD40111/BLUE_346/HD40111_w346_blue_20141104_O12.fits
HD40111,89.498579,25.95391,2014-10-29T08:55:18.042,346,3281.9,3333.4,/HD40111/BLUE_346/HD40111_w346_blue_20141029_O12.fits
HD40111,89.498395,25.95405,2015-09-27T08:34:32.419,346,3281.9,3333.4,/HD40111/BLUE_346/HD40111_w346_blue_20150927_O12.fits
HD41117,90.980162,20.13839,2016-02-22T01:48:46.734,346,3281.9,3333.4,/HD41117/BLUE_346/HD41117_w346_blue_20160222_O12.fits
HD41117,90.980046,20.13818,2015-09-27T07:56:15.732,346,3281.9,3333.4,/HD41117/BLUE_346/HD41117_w346_blue_20150927_O12.fits
HD43384,94.244771,23.74065,2015-09-30T07:50:15.115,346,3281.9,3333.4,/HD43384/BLUE_346/HD43384_w346_blue_20150930_O12.fits
HD45314,96.815624,14.88911,2018-02-12T02:55:14.173,346,3281.9,3333.4,/HD45314/BLUE_346/HD45314_w346_blue_20180212_O12.fits
HD49787,102.48136,-5.51339,2018-02-12T04:20:28.781,346,3281.9,3333.4,/HD49787/BLUE_346/HD49787_w346_blue_20180212_O12.fits
HD49787,102.481348,-5.51322,2018-02-15T03:22:31.464,346,3281.9,3333.4,/HD49787/BLUE_346/HD49787_w346_blue_20180215_O12.fits
HD50820,103.675047,-1.75673,2017-10-02T08:13:38.074,346,3281.9,3333.4,/HD50820/BLUE_346/HD50820_w346_blue_20171002_O12.fits
HD50820,103.674935,-1.75671,2017-12-18T03:30:20.413,346,3281.9,3333.4,/HD50820/BLUE_346/HD50820_w346_blue_20171218_O12.fits
HD53975,106.650039,-12.39414,2015-01-30T01:31:37.940,346,3281.9,3333.4,/HD53975/BLUE_346/HD53975_w346_blue_20150130_O12.fits
HD53975,106.650004,-12.39389,2018-03-19T01:48:04.687,346,3281.9,3333.4,/HD53975/BLUE_346/HD53975_w346_blue_20180319_O12.fits
HD53975,106.649973,-12.39408,2019-01-01T08:12:58.238,346,3282,3333.4,/HD53975/BLUE_346/HD53975_w346_blue_20190101_O12.fits
HD54239,104.140128,-79.42027,2017-04-17T23:54:15.401,346,3281.9,3333.4,/HD54239/BLUE_346/HD54239_w346_blue_20170417_O12.fits
HD54439,107.096765,-11.85223,2017-04-26T00:38:52.058,346,3281.9,3333.4,/HD54439/BLUE_346/HD54439_w346_blue_20170426_O12.fits
HD54662,107.334391,-10.34663,2015-11-21T06:09:06.476,346,3281.9,3333.4,/HD54662/BLUE_346/HD54662_w346_blue_20151121_O12.fits
HD54662,107.334329,-10.34678,2015-11-14T06:49:49.264,346,3282,3333.4,/HD54662/BLUE_346/HD54662_w346_blue_20151114_O12.fits
HD55879,108.617513,-10.31653,2016-02-22T04:30:08.375,346,3281.9,3333.4,/HD55879/BLUE_346/HD55879_w346_blue_20160222_O12.fits
HD55879,108.617537,-10.3165,2015-01-20T02:42:23.716,346,3281.9,3333.4,/HD55879/BLUE_346/HD55879_w346_blue_20150120_O12.fits
HD55879,108.617566,-10.31649,2017-01-02T03:53:03.395,346,3282,3333.4,/HD55879/BLUE_346/HD55879_w346_blue_20170102_O12.fits
HD57061,109.676988,-24.95418,2014-10-10T07:57:17.558,346,3281.9,3333.4,/HD57061/BLUE_346/HD57061_w346_blue_20141010_O12.fits
HD61827,114.955604,-32.57787,2018-03-24T23:55:09.985,346,3281.9,3333.4,/HD61827/BLUE_346/HD61827_w346_blue_20180324_O12.fits
HD61827,114.955657,-32.57789,2018-03-25T01:10:27.220,346,3281.9,3333.4,/HD61827/BLUE_346/HD61827_w346_blue_20180325_O12.fits
HD63804,117.331889,-33.32963,2019-02-03T07:31:54.520,346,3282,3333.4,/HD63804/BLUE_346/HD63804_w346_blue_20190203_O12.fits
HD63804,117.331875,-33.32982,2019-02-04T06:23:56.000,346,3282,3333.4,/HD63804/BLUE_346/HD63804_w346_blue_20190204_O12.fits
HD66194,119.710665,-60.8245,2014-10-06T07:14:09.323,346,3281.9,3333.4,/HD66194/BLUE_346/HD66194_w346_blue_20141006_O12.fits
HD66194,119.710139,-60.82442,2019-01-01T01:44:21.161,346,3282,3333.4,/HD66194/BLUE_346/HD66194_w346_blue_20190101_O12.fits
HD66811,120.895751,-40.00325,2014-10-10T08:27:36.645,346,3281.9,3333.4,/HD66811/BLUE_346/HD66811_w346_blue_20141010_O12.fits
HD73882,129.789587,-40.41917,2017-04-25T00:40:56.679,346,3281.9,3333.4,/HD73882/BLUE_346/HD73882_w346_blue_20170425_O12.fits
HD75309,131.866612,-46.45113,2014-12-21T05:31:47.360,346,3281.9,3333.4,/HD75309/BLUE_346/HD75309_w346_blue_20141221_O12.fits
HD75309,131.866433,-46.4511,2014-10-13T07:44:57.803,346,3281.9,3333.4,/HD75309/BLUE_346/HD75309_w346_blue_20141013_O12.fits
HD75860,132.721802,-43.75139,2017-04-29T23:53:54.251,346,3281.9,3333.4,/HD75860/BLUE_346/HD75860_w346_blue_20170429_O12.fits
HD75860,132.721879,-43.75137,2017-04-30T00:12:41.299,346,3281.9,3333.4,/HD75860/BLUE_346/HD75860_w346_blue_20170430_O12.fits
HD79186,137.76834,-44.86781,2014-10-13T08:44:54.990,346,3281.9,3333.4,/HD79186/BLUE_346/HD79186_w346_blue_20141013_O12.fits
HD79186,137.76865,-44.86799,2016-02-21T04:00:53.637,346,3281.9,3333.4,/HD79186/BLUE_346/HD79186_w346_blue_20160221_O12.fits
HD80558,139.676493,-51.56072,2015-06-03T23:22:32.832,346,3281.9,3333.4,/HD80558/BLUE_346/HD80558_w346_blue_20150603_O12.fits
HD80558,139.676598,-51.56057,2016-02-21T06:13:06.584,346,3281.9,3333.4,/HD80558/BLUE_346/HD80558_w346_blue_20160221_O12.fits
HD81188,140.52842,-55.01063,2017-04-18T00:08:25.167,346,3281.9,3333.4,/HD81188/BLUE_346/HD81188_w346_blue_20170418_O12.fits
HD91824,158.694071,-58.15623,2015-02-12T07:37:48.066,346,3281.9,3333.4,/HD91824/BLUE_346/HD91824_w346_blue_20150212_O12.fits
HD91824,158.694546,-58.15625,2015-02-19T05:12:27.665,346,3281.9,3333.4,/HD91824/BLUE_346/HD91824_w346_blue_20150219_O12.fits
HD91824,158.694315,-58.15609,2015-02-21T04:52:35.381,346,3281.9,3333.4,/HD91824/BLUE_346/HD91824_w346_blue_20150221_O12.fits
HD93030,160.73871,-64.39433,2014-12-10T05:53:49.597,346,3281.9,3333.4,/HD93030/BLUE_346/HD93030_w346_blue_20141210_O12.fits
HD93205,161.140733,-59.73759,2015-02-27T05:35:54.223,346,3281.9,3333.4,/HD93205/BLUE_346/HD93205_w346_blue_20150227_O12.fits
HD93222,161.150691,-60.09135,2017-04-25T02:32:43.119,346,3281.9,3333.4,/HD93222/BLUE_346/HD93222_w346_blue_20170425_O12.fits
HD93843,162.157115,-60.22371,2017-01-07T07:31:22.236,346,3282,3333.4,/HD93843/BLUE_346/HD93843_w346_blue_20170107_O12.fits
HD94493,163.313021,-60.81473,2015-02-16T09:13:38.811,346,3282,3333.4,/HD94493/BLUE_346/HD94493_w346_blue_20150216_O12.fits
HD94493,163.313014,-60.81465,2015-01-14T05:56:39.315,346,3281.9,3333.4,/HD94493/BLUE_346/HD94493_w346_blue_20150114_O12.fits
HD94493,163.312816,-60.81494,2015-02-12T07:27:49.323,346,3281.9,3333.4,/HD94493/BLUE_346/HD94493_w346_blue_20150212_O12.fits
HD99953,172.312759,-63.55426,2017-04-29T00:36:30.214,346,3281.9,3333.4,/HD99953/BLUE_346/HD99953_w346_blue_20170429_O12.fits
kappaOri,86.939187,-9.66955,2015-09-27T06:50:15.636,346,3281.9,3333.4,/HD38771/BLUE_346/kappaOri_w346_blue_20150927_O12.fits
lambdaSco,263.401535,-37.10415,2015-07-20T05:33:32.744,346,3281.9,3333.4,/HD158926/BLUE_346/lambdaSco_w346_blue_20150720_O12.fits
