Object,RA,DEC,DateObs,setting,WaveMin,WaveMax,Filename
HD79186,137.768635,-44.86803,2016-02-21T04:17:39.259,860,7564.3,7689.9,/HD79186/RED_860/HD79186_w860_redl_20160221_O12.fits
HD147888,246.350849,-23.46082,2014-09-26T00:37:45.170,860,7564.1,7689.8,/HD147888/RED_860/HD147888_w860_redl_20140926_O12.fits
HD147888,246.350808,-23.46081,2014-09-27T00:22:50.594,860,7564.1,7689.8,/HD147888/RED_860/HD147888_w860_redl_20140927_O12.fits
HD147888,246.351099,-23.46072,2017-05-03T08:11:37.566,860,7564.3,7689.9,/HD147888/RED_860/HD147888_w860_redl_20170503_O12.fits
kappa Ori,86.939281,-9.66949,2015-09-27T07:08:42.096,860,7564.3,7689.9,/HD38771/RED_860/kappaOri_w860_redl_20150927_O12.fits
HD36486,83.001701,-0.29906,2014-09-30T06:30:35.033,860,7564.1,7689.8,/HD36486/RED_860/HD36486_w860_redl_20140930_O12.fits
HD36486,83.001688,-0.2991,2014-09-24T08:37:32.312,860,7564.1,7689.8,/HD36486/RED_860/HD36486_w860_redl_20140924_O12.fits
HD36486,83.001724,-0.29914,2014-10-06T05:42:44.656,860,7564.1,7689.8,/HD36486/RED_860/HD36486_w860_redl_20141006_O12.fits
HD37367,84.825939,29.21523,2018-02-02T02:49:19.917,860,7564.3,7689.9,/HD37367/RED_860/HD37367_w860_redl_20180202_O12.fits
HD37367,84.826029,29.21527,2014-10-11T08:57:28.135,860,7564.1,7689.8,/HD37367/RED_860/HD37367_w860_redl_20141011_O12.fits
HD170938,278.157425,-15.70217,2016-07-28T05:18:30.496,860,7564.3,7689.9,/HD170938/RED_860/HD170938_w860_redl_20160728_O12.fits
HD170938,278.157241,-15.70216,2018-09-11T01:11:25.425,860,7564.3,7689.9,/HD170938/RED_860/HD170938_w860_redl_20180911_O12.fits
